???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 20?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"43,621.20 kWh",????,"2,620.80 kW",?????,,
30,359.76,"1,439.04",30.48,0,99.64,100,
45,357.12,"1,428.48",27.12,0,99.71,100,
100,354,"1,416.00",27.12,0,99.71,100,
115,356.88,"1,427.52",30.96,0,99.63,100,
130,356.4,"1,425.60",32.88,0,99.58,100,
145,355.68,"1,422.72",32.4,0,99.59,100,
200,352.8,"1,411.20",31.44,0,99.61,100,
215,316.56,"1,266.24",11.76,0,99.93,100,
230,311.28,"1,245.12",8.64,0,99.96,100,
245,311.52,"1,246.08",7.92,0,99.97,100,
300,310.32,"1,241.28",6.96,0,99.97,100,
315,304.8,"1,219.20",6.48,0,99.98,100,
330,300.48,"1,201.92",8.4,0,99.96,100,
345,292.8,"1,171.20",5.52,0.48,99.98,100,
400,290.64,"1,162.56",3.36,0.48,99.99,100,
415,292.32,"1,169.28",2.16,1.2,100,100,
430,300.48,"1,201.92",4.56,0.24,99.99,100,
445,307.68,"1,230.72",5.52,0,99.98,100,
500,319.68,"1,278.72",14.64,0,99.9,100,
515,331.92,"1,327.68",13.92,0,99.91,100,
530,339.36,"1,357.44",12,0,99.94,100,
545,342.96,"1,371.84",13.44,0,99.92,100,
600,346.32,"1,385.28",13.44,0,99.92,100,
615,356.16,"1,424.64",15.36,0,99.91,100,
630,364.56,"1,458.24",18,0,99.88,100,
645,363.84,"1,455.36",16.56,0,99.9,100,
700,378.72,"1,514.88",23.28,0,99.81,100,
715,388.8,"1,555.20",25.68,0,99.78,100,
730,387.84,"1,551.36",24,0,99.81,100,
745,390.24,"1,560.96",22.8,0,99.83,100,
800,405.84,"1,623.36",31.44,0,99.7,100,
815,426.72,"1,706.88",41.52,0,99.53,100,
830,446.64,"1,786.56",48,0,99.43,100,
845,458.64,"1,834.56",55.68,0,99.27,100,
900,457.68,"1,830.72",53.76,0,99.32,100,
915,471.36,"1,885.44",58.08,0,99.25,100,
930,474.24,"1,896.96",54.24,0,99.35,100,
945,488.16,"1,952.64",55.68,0,99.36,100,
1000,535.2,"2,140.80",78.72,0,98.94,100,
1015,617.04,"2,468.16",117.36,0,98.24,100,
1030,641.76,"2,567.04",134.88,0,97.86,100,
1045,631.2,"2,524.80",132.96,0,97.85,100,
1100,633.6,"2,534.40",131.52,0,97.91,100,
1115,635.28,"2,541.12",131.28,0,97.93,100,
1130,644.88,"2,579.52",137.04,0,97.82,100,
1145,647.76,"2,591.04",137.52,0,97.82,100,
1200,655.2,"2,620.80",144.96,0,97.64,100,
1215,646.8,"2,587.20",136.08,0,97.86,100,
1230,624.72,"2,498.88",128.64,0,97.95,100,
1245,589.92,"2,359.68",119.04,0,98.02,100,
1300,572.64,"2,290.56",116.88,0,97.98,100,
1315,571.2,"2,284.80",115.92,0,98,100,
1330,579.36,"2,317.44",119.28,0,97.95,100,
1345,580.8,"2,323.20",110.16,0,98.25,100,
1400,570.72,"2,282.88",103.44,0,98.4,100,
1415,560.88,"2,243.52",110.88,0,98.1,100,
1430,562.08,"2,248.32",110.88,0,98.11,100,
1445,556.08,"2,224.32",110.88,0,98.07,100,
1500,558.96,"2,235.84",110.64,0,98.1,100,
1515,581.52,"2,326.08",126.48,0,97.72,100,
1530,565.68,"2,262.72",115.68,0,97.97,100,
1545,561.84,"2,247.36",115.68,0,97.95,100,
1600,552.48,"2,209.92",110.64,0,98.05,100,
1615,546.72,"2,186.88",100.8,0,98.34,100,
1630,551.28,"2,205.12",102.48,0,98.32,100,
1645,550.8,"2,203.20",104.88,0,98.23,100,
1700,550.8,"2,203.20",110.64,0,98.04,100,
1715,515.28,"2,061.12",94.56,0,98.36,100,
1730,506.16,"2,024.64",90.96,0,98.42,100,
1745,498.24,"1,992.96",86.4,0,98.53,100,
1800,501.36,"2,005.44",90,0,98.43,100,
1815,500.4,"2,001.60",84.48,0,98.6,100,
1830,498.96,"1,995.84",83.04,0,98.64,100,
1845,503.28,"2,013.12",85.2,0,98.6,100,
1900,506.4,"2,025.60",88.8,0,98.5,100,
1915,487.44,"1,949.76",81.84,0,98.62,100,
1930,486.48,"1,945.92",83.04,0,98.57,100,
1945,484.32,"1,937.28",80.88,0,98.63,100,
2000,466.8,"1,867.20",74.88,0,98.74,100,
2015,460.32,"1,841.28",75.6,0,98.68,100,
2030,466.08,"1,864.32",78,0,98.63,100,
2045,455.52,"1,822.08",73.44,0,98.73,100,
2100,453.36,"1,813.44",78.72,0,98.53,100,
2115,450.72,"1,802.88",76.8,0,98.58,100,
2130,445.44,"1,781.76",67.92,0,98.86,100,
2145,434.88,"1,739.52",62.64,0,98.98,100,
2200,436.8,"1,747.20",67.2,0,98.84,100,
2215,423.6,"1,694.40",62.64,0,98.92,100,
2230,397.44,"1,589.76",51.6,0,99.17,100,
2245,378.48,"1,513.92",48,0,99.21,100,
2300,354.96,"1,419.84",31.92,0,99.6,100,
2315,335.04,"1,340.16",21.6,0,99.79,100,
2330,324.96,"1,299.84",18.96,0,99.83,100,
2345,326.88,"1,307.52",19.68,0,99.82,100,
2400,311.52,"1,246.08",10.08,0,99.95,100,
,,,,,,,
???,,,,,,(?),
