???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 29?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"50,418.24 kWh",????,"3,031.68 kW",?????,,
645,429.6,"1,718.40",37.2,0,99.63,100,
700,450.72,"1,802.88",48,0,99.44,100,
715,474,"1,896.00",54.24,0,99.35,100,
730,513.36,"2,053.44",74.16,0,98.97,100,
745,534,"2,136.00",84,0,98.79,100,
800,546.24,"2,184.96",80.64,0,98.93,100,
815,563.52,"2,254.08",84.24,0,98.9,100,
830,584.16,"2,336.64",84.96,0,98.96,100,
845,608.4,"2,433.60",93.36,0,98.84,100,
900,624.48,"2,497.92",100.32,0,98.73,100,
915,618,"2,472.00",96,0,98.81,100,
930,688.8,"2,755.20",136.8,0,98.08,100,
945,691.92,"2,767.68",141.84,0,97.96,100,
1000,708.72,"2,834.88",152.88,0,97.75,100,
1015,745.44,"2,981.76",165.6,0,97.62,100,
1030,746.88,"2,987.52",161.52,0,97.74,100,
1045,749.28,"2,997.12",163.44,0,97.7,100,
1100,744.72,"2,978.88",164.16,0,97.66,100,
1115,757.92,"3,031.68",172.32,0,97.51,100,
1130,754.56,"3,018.24",172.32,0,97.49,100,
1145,738.24,"2,952.96",161.28,0,97.7,100,
1200,732,"2,928.00",160.8,0,97.67,100,
1215,734.16,"2,936.64",166.8,0,97.51,100,
1230,738,"2,952.00",166.56,0,97.55,100,
1245,729.6,"2,918.40",163.2,0,97.59,100,
1300,708.96,"2,835.84",154.8,0,97.7,100,
1315,714,"2,856.00",156.72,0,97.67,100,
1330,722.88,"2,891.52",157.2,0,97.72,100,
1345,721.92,"2,887.68",154.8,0,97.78,100,
1400,717.84,"2,871.36",150,0,97.89,100,
1415,712.56,"2,850.24",148.08,0,97.91,100,
1430,699.84,"2,799.36",140.4,0,98.05,100,
1445,713.28,"2,853.12",151.2,0,97.83,100,
1500,717.84,"2,871.36",152.64,0,97.81,100,
1515,709.44,"2,837.76",145.68,0,97.96,100,
1530,713.76,"2,855.04",145.68,0,97.98,100,
1545,712.32,"2,849.28",144,0,98.02,100,
1600,705.6,"2,822.40",144.24,0,97.97,100,
1615,696.24,"2,784.96",137.76,0,98.1,100,
1630,682.32,"2,729.28",130.32,0,98.22,100,
1645,675.36,"2,701.44",126.72,0,98.28,100,
1700,675.84,"2,703.36",130.56,0,98.18,100,
1715,656.88,"2,627.52",120.72,0,98.35,100,
1730,643.44,"2,573.76",117.6,0,98.37,100,
1745,615.6,"2,462.40",118.8,0,98.19,100,
1800,575.52,"2,302.08",108.48,0,98.27,100,
1815,560.16,"2,240.64",100.56,0,98.43,100,
1830,540,"2,160.00",89.28,0,98.66,100,
1845,537.36,"2,149.44",92.4,0,98.55,100,
1900,534.24,"2,136.96",93.12,0,98.51,100,
1915,531.36,"2,125.44",96.24,0,98.4,100,
1930,532.56,"2,130.24",98.4,0,98.34,100,
1945,540.24,"2,160.96",104.88,0,98.17,100,
2000,528.72,"2,114.88",100.32,0,98.25,100,
2015,516,"2,064.00",87.36,0,98.6,100,
2030,509.52,"2,038.08",83.28,0,98.69,100,
2045,490.56,"1,962.24",80.64,0,98.68,100,
2100,482.4,"1,929.60",78.72,0,98.69,100,
2115,430.8,"1,723.20",55.44,0,99.18,100,
2130,421.44,"1,685.76",54.96,0,99.16,100,
2145,376.8,"1,507.20",27.84,0,99.73,100,
2200,361.44,"1,445.76",24,0,99.78,100,
2215,355.68,"1,422.72",24,0,99.77,100,
2230,347.52,"1,390.08",22.32,0,99.79,100,
2245,339.84,"1,359.36",19.92,0,99.83,100,
2300,332.4,"1,329.60",19.68,0,99.83,100,
2315,327.6,"1,310.40",17.04,0,99.86,100,
2330,330,"1,320.00",19.68,0,99.82,100,
2345,338.16,"1,352.64",26.16,0,99.7,100,
2400,336.24,"1,344.96",23.52,0,99.76,100,
,,,,,,,
???,,,,,,(?),
