???????,,,,,,,
,,,,,,,
??,,,,,,2014? 10? 25?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"35,076.48 kWh",????,"1,938.24 kW",?????,,
1345,374.16,"1,496.64",76.8,0,97.96,100,
1400,374.88,"1,499.52",80.64,0,97.76,100,
1415,379.68,"1,518.72",82.32,0,97.73,100,
1430,370.56,"1,482.24",76.8,0,97.92,100,
1445,364.56,"1,458.24",76.8,0,97.85,100,
1500,358.56,"1,434.24",75.12,0,97.88,100,
1515,358.8,"1,435.20",77.04,0,97.77,100,
1530,363.84,"1,455.36",78.24,0,97.77,100,
1545,370.32,"1,481.28",79.68,0,97.76,100,
1600,373.68,"1,494.72",81.6,0,97.7,100,
1615,381.12,"1,524.48",89.76,0,97.34,100,
1630,375.12,"1,500.48",83.52,0,97.61,100,
1645,367.92,"1,471.68",81.12,0,97.65,100,
1700,361.68,"1,446.72",80.4,0,97.62,100,
1715,366.24,"1,464.96",79.92,0,97.7,100,
1730,362.64,"1,450.56",77.28,0,97.8,100,
1745,360.72,"1,442.88",75.12,0,97.9,100,
1800,361.2,"1,444.80",74.16,0,97.96,100,
1815,366.96,"1,467.84",74.64,0,97.99,100,
1830,370.08,"1,480.32",79.68,0,97.76,100,
1845,352.32,"1,409.28",75.84,0,97.76,100,
1900,356.16,"1,424.64",77.04,0,97.74,100,
1915,343.92,"1,375.68",69.6,0,98.01,100,
1930,350.16,"1,400.64",73.2,0,97.88,100,
1945,348.72,"1,394.88",71.52,0,97.96,100,
2000,339.36,"1,357.44",69.84,0,97.95,100,
2015,335.28,"1,341.12",68.64,0,97.97,100,
2030,342.72,"1,370.88",75.36,0,97.67,100,
2045,327.84,"1,311.36",66.72,0,97.99,100,
2100,326.88,"1,307.52",67.44,0,97.94,100,
2115,319.68,"1,278.72",67.2,0,97.86,100,
2130,320.4,"1,281.60",69.84,0,97.71,100,
2145,320.16,"1,280.64",69.6,0,97.72,100,
2200,310.56,"1,242.24",63.84,0,97.95,100,
2215,324.72,"1,298.88",75.36,0,97.41,100,
2230,312.96,"1,251.84",69.6,0,97.62,100,
2245,331.68,"1,326.72",86.64,0,96.75,100,
2300,320.16,"1,280.64",81.84,0,96.88,100,
2315,312.72,"1,250.88",75.84,0,97.18,100,
2330,315.6,"1,262.40",79.2,0,96.99,100,
2345,305.52,"1,222.08",72.96,0,97.27,100,
2400,314.16,"1,256.64",78,0,97.05,100,
,,,,,,,
???,,,,,,(?),
